iter	MultiClass
0	1.098611245
1	1.098611245
2	1.098610374
3	1.098609251
4	1.098609251
5	1.098608435
6	1.098607619
7	1.098606324
8	1.098605319
9	1.098604503
10	1.098603353
11	1.098602221
12	1.098601018
13	1.09859963
14	1.098598433
15	1.098597501
16	1.09859663
17	1.098596045
18	1.098594711
19	1.098593489
20	1.098593489
21	1.098592323
22	1.098591876
23	1.098591876
24	1.098590554
25	1.098590554
26	1.098590554
27	1.098589976
28	1.098588985
29	1.098588686
30	1.098587459
31	1.098586438
32	1.098585926
33	1.098585428
34	1.098585428
35	1.098584118
36	1.098582915
37	1.098582628
38	1.098582628
39	1.098581566
40	1.098580092
41	1.098580092
42	1.098579378
43	1.098579378
44	1.098579378
45	1.098578162
46	1.098577414
47	1.098577414
48	1.098576067
49	1.098574732
50	1.098574732
51	1.098573376
52	1.098571963
53	1.098571665
54	1.098571153
55	1.098570087
56	1.098568898
57	1.098568027
58	1.098566562
59	1.098565965
60	1.098565001
61	1.098565001
62	1.098564037
63	1.098563164
64	1.0985618
65	1.09856069
66	1.098559843
67	1.098559843
68	1.098559545
69	1.098558869
70	1.098558271
71	1.09855702
72	1.09855702
73	1.09855702
74	1.09855702
75	1.098555839
76	1.098555839
77	1.098555839
78	1.098554858
79	1.098554211
80	1.098554211
81	1.098552814
82	1.098552814
83	1.09855135
84	1.098550029
85	1.098549182
86	1.098549182
87	1.098548585
88	1.098548585
89	1.098547993
90	1.098546977
91	1.098545809
92	1.098545809
93	1.098545214
94	1.098544459
95	1.098543799
96	1.098542702
97	1.098541947
98	1.09854099
99	1.098540119
100	1.098538761
101	1.098538085
102	1.098537609
103	1.098537609
104	1.098536185
105	1.098536185
106	1.098536185
107	1.098535369
108	1.098535369
109	1.098534078
110	1.098532867
111	1.098531771
112	1.09853105
113	1.098530732
114	1.098529566
115	1.098528834
116	1.098527388
117	1.098526518
118	1.098525647
119	1.098525647
120	1.098524568
121	1.098524568
122	1.098524568
123	1.098523442
124	1.098522729
125	1.098522729
126	1.098522471
127	1.098522471
128	1.098521026
129	1.09852021
130	1.098518764
131	1.09851735
132	1.09851735
133	1.098516195
134	1.098515324
135	1.098514481
136	1.098514481
137	1.098513194
138	1.098512897
139	1.098512897
140	1.098511975
141	1.098511104
142	1.098510628
143	1.098510628
144	1.098509405
145	1.098509107
146	1.098507853
147	1.098507188
148	1.098505883
149	1.098504436
150	1.098504436
151	1.098503046
152	1.098502071
153	1.098501267
154	1.098501267
155	1.098500484
156	1.098500186
